passenger_id,classe,sobreviveu,sexo,idade,irmaos_conjuge,pais_filhos,bilhete,tarifa,embarque
0,1,1,female,29.0,0,0,24160,211.3375,S
1,1,1,male,0.9167,1,2,113781,151.55,S
2,1,0,female,2.0,1,2,113781,151.55,S
3,1,0,male,30.0,1,2,113781,151.55,S
4,1,0,female,25.0,1,2,113781,151.55,S
5,1,1,male,48.0,0,0,19952,26.55,S
6,1,1,female,63.0,1,0,13502,77.9583,S
7,1,0,male,39.0,0,0,112050,0.0,S
8,1,1,female,53.0,2,0,11769,51.4792,S
9,1,0,male,71.0,0,0,PC 17609,49.5042,C
10,1,0,male,47.0,1,0,PC 17757,227.525,C
11,1,1,female,18.0,1,0,PC 17757,227.525,C
12,1,1,female,24.0,0,0,PC 17477,69.3,C
13,1,1,female,26.0,0,0,19877,78.85,S
14,1,1,male,80.0,0,0,27042,30.0,S
15,1,0,male,3.0,0,0,PC 17318,25.925,S
16,1,0,male,24.0,0,1,PC 17558,247.5208,C
17,1,1,female,50.0,0,1,PC 17558,247.5208,C
18,1,1,female,32.0,0,0,11813,76.2917,C
19,1,0,male,36.0,0,0,13050,75.2417,C
20,1,1,male,37.0,1,1,11751,52.5542,S
21,1,1,female,47.0,1,1,11751,52.5542,S
22,1,1,male,26.0,0,0,111369,30.0,C
23,1,1,female,42.0,0,0,PC 17757,227.525,C
24,1,1,female,29.0,0,0,PC 17483,221.7792,S
25,1,0,male,25.0,0,0,13905,26.0,C
26,1,1,male,25.0,1,0,11967,91.0792,C
27,1,1,female,19.0,1,0,11967,91.0792,C
28,1,1,female,35.0,0,0,PC 17760,135.6333,S
29,1,1,male,28.0,0,0,110564,26.55,S
30,1,0,male,45.0,0,0,113784,35.5,S
31,1,1,male,40.0,0,0,112277,31.0,C
32,1,1,female,30.0,0,0,36928,164.8667,S
33,1,1,female,58.0,0,0,113783,26.55,S
34,1,0,male,42.0,0,0,110489,26.55,S
35,1,1,female,45.0,0,0,PC 17608,262.375,C
36,1,1,female,22.0,0,1,113505,55.0,S
37,1,1,male,3.0,0,0,111427,26.55,S
38,1,0,male,41.0,0,0,113054,30.5,S
39,1,0,male,48.0,0,0,PC 17591,50.4958,C
40,1,0,male,3.0,0,0,112379,39.6,C
41,1,1,female,44.0,0,0,PC 17610,27.7208,C
42,1,1,female,59.0,2,0,11769,51.4792,S
43,1,1,female,60.0,0,0,11813,76.2917,C
44,1,1,female,41.0,0,0,16966,134.5,C
45,1,0,male,45.0,0,0,113050,26.55,S
46,1,0,male,3.0,0,0,113798,31.0,S
47,1,1,male,42.0,0,0,PC 17476,26.2875,S
48,1,1,female,53.0,0,0,PC 17606,27.4458,C
49,1,1,male,36.0,0,1,PC 17755,512.3292,C
50,1,1,female,58.0,0,1,PC 17755,512.3292,C
51,1,0,male,33.0,0,0,695,5.0,S
52,1,0,male,28.0,0,0,113059,47.1,S
53,1,0,male,17.0,0,0,113059,47.1,S
54,1,1,male,11.0,1,2,113760,120.0,S
55,1,1,female,14.0,1,2,113760,120.0,S
56,1,1,male,36.0,1,2,113760,120.0,S
57,1,1,female,36.0,1,2,113760,120.0,S
58,1,0,male,49.0,0,0,19924,26.0,S
59,1,1,female,3.0,0,0,17770,27.7208,C
60,1,0,male,36.0,1,0,19877,78.85,S
61,1,1,female,76.0,1,0,19877,78.85,S
62,1,0,male,46.0,1,0,W.E.P. 5734,61.175,S
63,1,1,female,47.0,1,0,W.E.P. 5734,61.175,S
64,1,1,male,27.0,1,0,113806,53.1,S
65,1,1,female,33.0,1,0,113806,53.1,S
66,1,1,female,36.0,0,0,PC 17608,262.375,C
67,1,1,female,30.0,0,0,110152,86.5,S
68,1,1,male,45.0,0,0,PC 17594,29.7,C
69,1,1,female,3.0,0,1,113505,55.0,S
70,1,0,male,3.0,0,0,112051,0.0,S
71,1,0,male,27.0,1,0,13508,136.7792,C
72,1,1,female,26.0,1,0,13508,136.7792,C
73,1,1,female,22.0,0,0,113781,151.55,S
74,1,0,male,3.0,0,0,110465,52.0,S
75,1,0,male,47.0,0,0,5727,25.5875,S
76,1,1,female,39.0,1,1,PC 17756,83.1583,C
77,1,0,male,37.0,1,1,PC 17756,83.1583,C
78,1,1,female,64.0,0,2,PC 17756,83.1583,C
79,1,1,female,55.0,2,0,11770,25.7,S
80,1,0,male,3.0,0,0,113791,26.55,S
81,1,0,male,70.0,1,1,WE/P 5735,71.0,S
82,1,1,female,36.0,0,2,WE/P 5735,71.0,S
83,1,1,female,64.0,1,1,112901,26.55,S
84,1,0,male,39.0,1,0,PC 17599,71.2833,C
