passenger_id,classe,sobreviveu,idade,irmaos_conjuge,pais_filhos,tarifa,sexo_female,sexo_male,embarque_24.0,embarque_C,embarque_Q,embarque_S
0,1,1,29.0,0,0,14.4542,1,0,0,0,0,1
1,1,1,0.9167,1,2,14.4542,0,1,0,0,0,1
5,1,1,48.0,0,0,26.55,0,1,0,0,0,1
6,1,1,63.0,1,0,77.9583,1,0,0,0,0,1
8,1,1,53.0,2,0,51.4792,1,0,0,0,0,1
11,1,1,18.0,1,0,14.4542,1,0,0,1,0,0
12,1,1,24.0,0,0,69.3,1,0,0,1,0,0
13,1,1,26.0,0,0,78.85,1,0,0,0,0,1
14,1,1,80.0,0,0,30.0,0,1,0,0,0,1
17,1,1,50.0,0,1,14.4542,1,0,0,1,0,0
18,1,1,32.0,0,0,76.2917,1,0,0,1,0,0
20,1,1,37.0,1,1,52.5542,0,1,0,0,0,1
21,1,1,47.0,1,1,52.5542,1,0,0,0,0,1
22,1,1,26.0,0,0,30.0,0,1,0,1,0,0
23,1,1,42.0,0,0,14.4542,1,0,0,1,0,0
24,1,1,29.0,0,0,14.4542,1,0,0,0,0,1
26,1,1,25.0,1,0,91.0792,0,1,0,1,0,0
27,1,1,19.0,1,0,91.0792,1,0,0,1,0,0
28,1,1,35.0,0,0,135.6333,1,0,0,0,0,1
29,1,1,28.0,0,0,26.55,0,1,0,0,0,1
31,1,1,40.0,0,0,31.0,0,1,0,1,0,0
32,1,1,30.0,0,0,14.4542,1,0,0,0,0,1
33,1,1,58.0,0,0,26.55,1,0,0,0,0,1
35,1,1,45.0,0,0,14.4542,1,0,0,1,0,0
36,1,1,22.0,0,1,55.0,1,0,0,0,0,1
37,1,1,3.0,0,0,26.55,0,1,0,0,0,1
41,1,1,44.0,0,0,27.7208,1,0,0,1,0,0
42,1,1,59.0,2,0,51.4792,1,0,0,0,0,1
43,1,1,60.0,0,0,76.2917,1,0,0,1,0,0
44,1,1,41.0,0,0,134.5,1,0,0,1,0,0
47,1,1,42.0,0,0,26.2875,0,1,0,0,0,1
48,1,1,53.0,0,0,27.4458,1,0,0,1,0,0
49,1,1,36.0,0,1,14.4542,0,1,0,1,0,0
50,1,1,58.0,0,1,14.4542,1,0,0,1,0,0
54,1,1,11.0,1,2,120.0,0,1,0,0,0,1
55,1,1,14.0,1,2,120.0,1,0,0,0,0,1
56,1,1,36.0,1,2,120.0,0,1,0,0,0,1
57,1,1,36.0,1,2,120.0,1,0,0,0,0,1
59,1,1,3.0,0,0,27.7208,1,0,0,1,0,0
61,1,1,76.0,1,0,78.85,1,0,0,0,0,1
63,1,1,47.0,1,0,61.175,1,0,0,0,0,1
